Nodes	BC
9606.ENSP00000000233	8.606527990998036e-05
9606.ENSP00000272298	0.00020629153887020063
9606.ENSP00000418915	0.0015743753090281763
9606.ENSP00000466298	4.332828938179233e-05
9606.ENSP00000373713	0.00023089791015648732
9606.ENSP00000356737	3.856604604157954e-05
9606.ENSP00000338766	4.657887150177424e-05
9606.ENSP00000432568	0.0001952468091239494
9606.ENSP00000427900	4.759257457139367e-05
9606.ENSP00000350199	8.123352664668535e-05
9606.ENSP00000265967	1.991168136137678e-05
9606.ENSP00000398481	0.00024666748652027107
9606.ENSP00000383118	0.0008819269392808521
9606.ENSP00000438085	0.00012319708694232475
9606.ENSP00000482835	0.00031454552499582465
9606.ENSP00000354878	9.725581400682439e-05
9606.ENSP00000310521	4.540017538377063e-05
9606.ENSP00000279387	0.0004723954532292329
9606.ENSP00000405926	3.9827559731561485e-05
9606.ENSP00000355924	0.00014933376362875246
9606.ENSP00000324127	0.0001215299671023675
9606.ENSP00000393541	4.178269610059306e-05
9606.ENSP00000280700	3.118739839252165e-05
9606.ENSP00000314615	0.00016663981670144492
9606.ENSP00000282728	0.00020590623439404796
9606.ENSP00000349588	0.0005437641362270837
9606.ENSP00000326031	0.0006716485739527681
9606.ENSP00000362680	0.0023828329774658835
9606.ENSP00000356234	0.00044037874062838566
9606.ENSP00000414982	8.822917685036619e-05
9606.ENSP00000480707	3.2649156603043235e-05
9606.ENSP00000324020	9.474131865056876e-05
9606.ENSP00000300087	3.120874455398954e-05
9606.ENSP00000268919	5.03732140968489e-05
9606.ENSP00000353104	0.00012314479262472326
9606.ENSP00000384164	0.00010626096608876578
9606.ENSP00000319781	5.204417066024056e-05
9606.ENSP00000388878	3.398994407313811e-05
9606.ENSP00000317955	0.00030328482346464827
9606.ENSP00000258739	5.405105036383525e-05
9606.ENSP00000301037	0.0005049353687690184
9606.ENSP00000313869	0.00011223917778061385
9606.ENSP00000310226	9.073822842978211e-05
9606.ENSP00000304669	0.0002713812197523318
9606.ENSP00000298910	0.0022178566878774363
9606.ENSP00000346762	0.00013812573491346402
9606.ENSP00000311684	0.00023773647808010844
9606.ENSP00000357879	0.0005586240890817302
9606.ENSP00000384869	0.00010936406179923869
9606.ENSP00000303145	8.452047534687312e-05
9606.ENSP00000305260	0.0001626835040587528
9606.ENSP00000369126	2.8838094009353925e-05
9606.ENSP00000468367	0.0006581801063212378
9606.ENSP00000364864	0.00011378741942242347
9606.ENSP00000367407	5.460621002282136e-05
9606.ENSP00000222390	0.0001454242247970374
9606.ENSP00000404190	9.791747466590254e-05
9606.ENSP00000258301	0.00011928722700335106
9606.ENSP00000379386	0.00018660710795648458
9606.ENSP00000263373	0.0001702273508955472
9606.ENSP00000359000	0.0001098799081592078
9606.ENSP00000163416	1.8863322140000136e-05
9606.ENSP00000314649	0.00020579005761832167
9606.ENSP00000264454	3.71523642055079e-05
9606.ENSP00000376306	0.00013756288322802518
9606.ENSP00000380308	0.0001253549451170808
9606.ENSP00000265062	0.0003920859023045644
9606.ENSP00000380432	0.004239923789528853
9606.ENSP00000297044	2.113412715022137e-05
9606.ENSP00000370719	0.00016720818815681664
9606.ENSP00000401010	0.0003049188374093915
9606.ENSP00000365773	0.0001956055249337332
9606.ENSP00000262305	6.43431081677258e-05
9606.ENSP00000054666	0.00024567248184882045
9606.ENSP00000369755	1.2394570692255345e-05
9606.ENSP00000285208	0.00021955973769832683
9606.ENSP00000324287	7.631242519278285e-05
9606.ENSP00000232975	5.110498597471874e-05
9606.ENSP00000264712	9.376001589362577e-05
9606.ENSP00000385995	4.880719402314514e-05
9606.ENSP00000379712	6.088180976734319e-05
9606.ENSP00000273130	7.583807389943085e-05
9606.ENSP00000354560	0.00015075396673590126
9606.ENSP00000357048	6.446579377354017e-05
9606.ENSP00000293970	5.217551683663124e-05
9606.ENSP00000317272	0.0003060541637970495
9606.ENSP00000343144	8.619541141358702e-05
9606.ENSP00000300896	0.0002260118392894272
9606.ENSP00000315299	0.00015190459949672945
9606.ENSP00000377233	5.583316536368296e-05
9606.ENSP00000234313	0.0007131053121998393
9606.ENSP00000339467	0.0002531847890398795
9606.ENSP00000245796	3.6133973649993605e-05
9606.ENSP00000223369	9.986297813464922e-05
9606.ENSP00000388996	5.666462278716155e-05
9606.ENSP00000249923	0.0003428428016193231
9606.ENSP00000480301	5.336085928165284e-05
9606.ENSP00000455507	0.00042733067422600474
9606.ENSP00000378356	0.00012969688042365057
9606.ENSP00000379891	1.638976588513362e-05
9606.ENSP00000361057	0.00014796992112731016
9606.ENSP00000357869	0.00044357832921266595
9606.ENSP00000377280	7.594355723758804e-05
9606.ENSP00000361636	0.00018346296473803884
9606.ENSP00000283426	3.702699398191801e-05
9606.ENSP00000310551	2.6192192499184442e-05
9606.ENSP00000341344	0.0001723553423088269
9606.ENSP00000379210	0.00011863955109011586
9606.ENSP00000296526	0.00043951654947510743
9606.ENSP00000226284	7.489267534093723e-05
9606.ENSP00000360532	0.0003102346655277413
9606.ENSP00000320130	0.00010527303614010352
9606.ENSP00000402394	2.7137233865439036e-05
9606.ENSP00000360672	3.8781583724636485e-05
9606.ENSP00000387286	0.0002136067632778805
9606.ENSP00000398526	3.2727738895616606e-06
9606.ENSP00000020673	9.978343791743493e-05
9606.ENSP00000293441	0.0003422697857792842
9606.ENSP00000219409	8.434264251318457e-05
9606.ENSP00000377250	0.00029923999237792536
9606.ENSP00000358921	0.00022984403196415673
9606.ENSP00000354947	0.0001657072988406868
9606.ENSP00000466799	0.00012743443753888089
9606.ENSP00000338844	0.00011141707722818101
9606.ENSP00000361635	0.00012883580899957392
9606.ENSP00000302895	5.533300693106537e-05
9606.ENSP00000352438	0.00017874774759039035
9606.ENSP00000221138	0.00017350524423748645
9606.ENSP00000220676	1.5520219649958443e-05
9606.ENSP00000447053	0.0001219329092748287
9606.ENSP00000263168	0.00018052450702608352
9606.ENSP00000379191	7.688777259170362e-05
9606.ENSP00000354669	2.3154272506745473e-05
9606.ENSP00000329468	9.226107303104787e-05
9606.ENSP00000369127	0.0002809601581229077
9606.ENSP00000357631	4.6934827097916796e-05
9606.ENSP00000334100	0.00013959738819946293
9606.ENSP00000261842	8.407193343262848e-05
9606.ENSP00000317790	3.940210813076484e-05
