Node	Closeness
9606.ENSP00000000233	0.4728469689924378
9606.ENSP00000272298	0.4853790885796111
9606.ENSP00000418915	0.5133512235300369
9606.ENSP00000466298	0.42579777856135403
9606.ENSP00000373713	0.4731016920100884
9606.ENSP00000356737	0.42507645259938837
9606.ENSP00000338766	0.4372948871737999
9606.ENSP00000432568	0.4740186457311089
9606.ENSP00000427900	0.44530745828339635
9606.ENSP00000350199	0.46813820507850357
9606.ENSP00000265967	0.41393864084325993
9606.ENSP00000398481	0.4479089391691395
9606.ENSP00000383118	0.5162315975098191
9606.ENSP00000438085	0.464514112612396
9606.ENSP00000482835	0.4839444945396253
9606.ENSP00000354878	0.45833234491756614
9606.ENSP00000310521	0.4519426446165002
9606.ENSP00000279387	0.4882616057213616
9606.ENSP00000405926	0.45957517661330605
9606.ENSP00000355924	0.4647599345713461
9606.ENSP00000324127	0.4359037992960924
9606.ENSP00000393541	0.4253197437647214
9606.ENSP00000280700	0.42929831578011823
9606.ENSP00000314615	0.4735307092789569
9606.ENSP00000282728	0.46441362401749875
9606.ENSP00000349588	0.48954823016697496
9606.ENSP00000326031	0.503793903679174
9606.ENSP00000362680	0.5259132233654527
9606.ENSP00000356234	0.47856240556807766
9606.ENSP00000414982	0.4631889339054971
9606.ENSP00000480707	0.45442999270879886
9606.ENSP00000324020	0.46700667117857486
9606.ENSP00000300087	0.46198173210272103
9606.ENSP00000268919	0.4529279384875053
9606.ENSP00000353104	0.4555228103265354
9606.ENSP00000384164	0.4558559833899585
9606.ENSP00000319781	0.4414513217721114
9606.ENSP00000388878	0.4429897970881577
9606.ENSP00000317955	0.4831578684138138
9606.ENSP00000258739	0.4610116917203531
9606.ENSP00000301037	0.4833270794246404
9606.ENSP00000313869	0.4555442906655978
9606.ENSP00000310226	0.47714419776257627
9606.ENSP00000304669	0.48281980158432664
9606.ENSP00000298910	0.5159834423821605
9606.ENSP00000346762	0.47423970938366755
9606.ENSP00000311684	0.4682289647150058
9606.ENSP00000357879	0.49645408294362503
9606.ENSP00000384869	0.4608687355389643
9606.ENSP00000303145	0.47278911564625853
9606.ENSP00000305260	0.49189134142926244
9606.ENSP00000369126	0.42876481292441526
9606.ENSP00000468367	0.4872764873521475
9606.ENSP00000364864	0.4664654756156446
9606.ENSP00000367407	0.43738398152759544
9606.ENSP00000222390	0.4810646615043697
9606.ENSP00000404190	0.47753336628769155
9606.ENSP00000258301	0.4622138226358221
9606.ENSP00000379386	0.47344948418241073
9606.ENSP00000263373	0.4727659782715083
9606.ENSP00000359000	0.4699829725127706
9606.ENSP00000163416	0.4246186980792053
9606.ENSP00000314649	0.45829972958869014
9606.ENSP00000264454	0.44011389521640093
9606.ENSP00000376306	0.46146313501636055
9606.ENSP00000380308	0.4883973710819009
9606.ENSP00000265062	0.4953340511716146
