node1_external_id,node2_external_id,combined_score
SARS-CoV2 E,9606.ENSP00000255194,963.5500949999999
SARS-CoV2 E,9606.ENSP00000263377,978.48835
SARS-CoV2 E,9606.ENSP00000364649,686.283154
SARS-CoV2 E,9606.ENSP00000378704,906.592876
SARS-CoV2 E,9606.ENSP00000370460,893.10916
SARS-CoV2 E,9606.ENSP00000416951,796.415039
SARS-CoV2 E,9606.ENSP00000336888,950.3428339999999
SARS-CoV2 M,9606.ENSP00000268099,653.809879
SARS-CoV2 M,9606.ENSP00000249269,985.120198
SARS-CoV2 M,9606.ENSP00000273258,638.142974
SARS-CoV2 M,9606.ENSP00000366098,856.000835
SARS-CoV2 M,9606.ENSP00000367050,651.711408
SARS-CoV2 M,9606.ENSP00000356790,817.6256010000001
SARS-CoV2 M,9606.ENSP00000359871,724.348569
SARS-CoV2 M,9606.ENSP00000452762,718.398295
SARS-CoV2 M,9606.ENSP00000392043,669.09613
SARS-CoV2 M,9606.ENSP00000286713,752.971772
SARS-CoV2 M,9606.ENSP00000485582,644.9103670000001
SARS-CoV2 M,9606.ENSP00000233838,789.966998
SARS-CoV2 M,9606.ENSP00000273398,794.938493
SARS-CoV2 M,9606.ENSP00000265113,688.209246
SARS-CoV2 M,9606.ENSP00000215071,881.4247790000001
SARS-CoV2 M,9606.ENSP00000430548,620.9199570000001
SARS-CoV2 M,9606.ENSP00000320324,600.68842
SARS-CoV2 M,9606.ENSP00000338348,606.231051
SARS-CoV2 M,9606.ENSP00000368959,913.088507
SARS-CoV2 M,9606.ENSP00000360782,991.059815
SARS-CoV2 M,9606.ENSP00000203630,663.122701
SARS-CoV2 M,9606.ENSP00000409126,993.9044190000001
SARS-CoV2 M,9606.ENSP00000350409,664.013081
SARS-CoV2 M,9606.ENSP00000400513,622.9575659999999
SARS-CoV2 M,9606.ENSP00000370377,952.3082320000001
SARS-CoV2 M,9606.ENSP00000361658,619.101516
SARS-CoV2 M,9606.ENSP00000346829,626.982883
SARS-CoV2 M,9606.ENSP00000264451,886.323242
SARS-CoV2 M,9606.ENSP00000369618,758.3658869999999
SARS-CoV2 M,9606.ENSP00000321971,689.955193
SARS-CoV2 M,9606.ENSP00000403077,615.214886
SARS-CoV2 M,9606.ENSP00000359130,766.9724369999999
SARS-CoV2 M,9606.ENSP00000229266,635.974009
SARS-CoV2 M,9606.ENSP00000355964,652.5209950000001
SARS-CoV2 M,9606.ENSP00000261965,753.607002
SARS-CoV2 M,9606.ENSP00000315118,800.74032
SARS-CoV2 M,9606.ENSP00000432487,769.472929
SARS-CoV2 M,9606.ENSP00000233596,955.6571630000001
SARS-CoV2 M,9606.ENSP00000434466,943.304706
SARS-CoV2 M,9606.ENSP00000329452,880.779937
SARS-CoV2 M,9606.ENSP00000446093,839.58055
SARS-CoV2 M,9606.ENSP00000358060,758.110505
SARS-CoV2 M,9606.ENSP00000337358,671.715468
SARS-CoV2 M,9606.ENSP00000287647,637.302539
SARS-CoV2 M,9606.ENSP00000337838,873.826097
SARS-CoV2 M,9606.ENSP00000342962,651.685453
SARS-CoV2 M,9606.ENSP00000285518,666.941644
SARS-CoV2 M,9606.ENSP00000259963,804.48832
SARS-CoV2 M,9606.ENSP00000377040,765.109504
SARS-CoV2 M,9606.ENSP00000386992,649.3854620000001
SARS-CoV2 M,9606.ENSP00000380557,751.981385
SARS-CoV2 M,9606.ENSP00000363043,801.486724
SARS-CoV2 M,9606.ENSP00000265388,600.814124
SARS-CoV2 M,9606.ENSP00000355938,640.982121
SARS-CoV2 M,9606.ENSP00000397249,756.364362
SARS-CoV2 N,9606.ENSP00000232888,861.168798
SARS-CoV2 N,9606.ENSP00000361092,608.4326169999999
SARS-CoV2 N,9606.ENSP00000313007,736.6359289999999
SARS-CoV2 N,9606.ENSP00000228251,654.3942069999999
SARS-CoV2 N,9606.ENSP00000262506,875.048268
SARS-CoV2 N,9606.ENSP00000365042,803.607895
SARS-CoV2 N,9606.ENSP00000377681,953.31626
SARS-CoV2 N,9606.ENSP00000361949,846.2000459999999
SARS-CoV2 N,9606.ENSP00000336721,737.8746600000001
SARS-CoV2 N,9606.ENSP00000238823,921.076719
SARS-CoV2 N,9606.ENSP00000296215,818.230245
SARS-CoV2 N,9606.ENSP00000470142,753.067271
SARS-CoV2 N,9606.ENSP00000330361,618.938219
SARS-CoV2 N,9606.ENSP00000399797,736.672944
SARS-CoV2 N,9606.ENSP00000346120,613.544528
SARS-CoV2 N,9606.ENSP00000223073,628.043125
SARS-CoV2 N,9606.ENSP00000352738,958.133672
SARS-CoV2 N,9606.ENSP00000355899,619.0304490000001
SARS-CoV2 N,9606.ENSP00000464342,631.167513
SARS-CoV2 S,9606.ENSP00000350378,978.8927189999999
SARS-CoV2 S,9606.ENSP00000287169,982.389013
SARS-CoV2 nsp1,9606.ENSP00000368349,981.264591
SARS-CoV2 nsp1,9606.ENSP00000350491,981.268688
SARS-CoV2 nsp1,9606.ENSP00000484105,993.975192
SARS-CoV2 nsp1,9606.ENSP00000265465,943.678488
SARS-CoV2 nsp1,9606.ENSP00000311766,628.297452
SARS-CoV2 nsp1,9606.ENSP00000252599,794.123974
SARS-CoV2 nsp1,9606.ENSP00000070846,964.585351
SARS-CoV2 nsp10,9606.ENSP00000327694,991.1281299999999
SARS-CoV2 nsp10,9606.ENSP00000415536,611.08081
SARS-CoV2 nsp10,9606.ENSP00000248114,965.3728150000001
SARS-CoV2 nsp10,9606.ENSP00000377374,912.239515
SARS-CoV2 nsp10,9606.ENSP00000292807,982.905884
SARS-CoV2 nsp10,9606.ENSP00000264954,986.587081
SARS-CoV2 nsp10,9606.ENSP00000255631,621.562245
SARS-CoV2 nsp11,9606.ENSP00000306362,768.344701
SARS-CoV2 nsp11,9606.ENSP00000261735,603.232514
SARS-CoV2 nsp11,9606.ENSP00000355895,640.4119929999999
SARS-CoV2 nsp12,9606.ENSP00000387361,969.888009
SARS-CoV2 nsp12,9606.ENSP00000378405,985.8176400000001
SARS-CoV2 nsp12,9606.ENSP00000269701,717.0599920000001
SARS-CoV2 nsp12,9606.ENSP00000356972,651.6915220000001
SARS-CoV2 nsp12,9606.ENSP00000263774,623.198772
SARS-CoV2 nsp12,9606.ENSP00000444596,987.4527039999999
SARS-CoV2 nsp12,9606.ENSP00000297151,989.4936349999999
SARS-CoV2 nsp12,9606.ENSP00000259808,981.8645
SARS-CoV2 nsp12,9606.ENSP00000389445,791.211852
SARS-CoV2 nsp12,9606.ENSP00000417142,633.5389809999999
SARS-CoV2 nsp12,9606.ENSP00000287078,993.449369
SARS-CoV2 nsp12,9606.ENSP00000239666,961.1715360000001
SARS-CoV2 nsp12,9606.ENSP00000349856,843.969576
SARS-CoV2 nsp12,9606.ENSP00000368540,892.61208
SARS-CoV2 nsp12,9606.ENSP00000354964,993.695111
SARS-CoV2 nsp12,9606.ENSP00000268184,991.104307
SARS-CoV2 nsp12,9606.ENSP00000345216,980.964951
SARS-CoV2 nsp12,9606.ENSP00000379773,980.817495
SARS-CoV2 nsp12,9606.ENSP00000482767,983.254345
SARS-CoV2 nsp12,9606.ENSP00000361923,693.5698030000001
SARS-CoV2 nsp12,9606.ENSP00000349929,609.260475
SARS-CoV2 nsp12,9606.ENSP00000361557,966.85652
SARS-CoV2 nsp12,9606.ENSP00000388940,992.827377
SARS-CoV2 nsp12,9606.ENSP00000286175,986.7263379999999
SARS-CoV2 nsp12,9606.ENSP00000404296,990.541089
SARS-CoV2 nsp13,9606.ENSP00000354777,985.289524
SARS-CoV2 nsp13,9606.ENSP00000376306,887.314876
SARS-CoV2 nsp13,9606.ENSP00000392896,851.502614
SARS-CoV2 nsp13,9606.ENSP00000352572,971.855938
SARS-CoV2 nsp13,9606.ENSP00000355812,981.570359
SARS-CoV2 nsp13,9606.ENSP00000265563,897.857211
SARS-CoV2 nsp13,9606.ENSP00000309591,880.3211739999999
SARS-CoV2 nsp13,9606.ENSP00000353408,619.151652
SARS-CoV2 nsp13,9606.ENSP00000265717,983.191506
SARS-CoV2 nsp13,9606.ENSP00000384136,912.028315
SARS-CoV2 nsp13,9606.ENSP00000355922,873.840643
SARS-CoV2 nsp13,9606.ENSP00000365682,969.17283
SARS-CoV2 nsp13,9606.ENSP00000452871,933.626993
SARS-CoV2 nsp13,9606.ENSP00000221561,962.4310310000001
SARS-CoV2 nsp13,9606.ENSP00000204726,928.738823
SARS-CoV2 nsp13,9606.ENSP00000416097,952.311087
SARS-CoV2 nsp13,9606.ENSP00000377275,985.6045409999999
SARS-CoV2 nsp13,9606.ENSP00000327077,696.288454
SARS-CoV2 nsp13,9606.ENSP00000365606,989.815969
SARS-CoV2 nsp13,9606.ENSP00000356579,867.55993
SARS-CoV2 nsp13,9606.ENSP00000358363,979.1243910000001
SARS-CoV2 nsp13,9606.ENSP00000257287,975.292134
SARS-CoV2 nsp13,9606.ENSP00000367229,879.7042160000001
SARS-CoV2 nsp13,9606.ENSP00000362962,989.917408
SARS-CoV2 nsp13,9606.ENSP00000468263,990.718127
SARS-CoV2 nsp13,9606.ENSP00000307939,987.387119
SARS-CoV2 nsp13,9606.ENSP00000327009,966.944672
SARS-CoV2 nsp13,9606.ENSP00000371472,991.5831939999999
SARS-CoV2 nsp13,9606.ENSP00000376522,964.318835
SARS-CoV2 nsp13,9606.ENSP00000333539,981.7699600000001
SARS-CoV2 nsp13,9606.ENSP00000263966,987.514452
SARS-CoV2 nsp13,9606.ENSP00000318821,873.361571
SARS-CoV2 nsp13,9606.ENSP00000386711,987.966991
SARS-CoV2 nsp13,9606.ENSP00000343818,939.307247
SARS-CoV2 nsp13,9606.ENSP00000348573,990.813809
SARS-CoV2 nsp13,9606.ENSP00000313869,986.870312
SARS-CoV2 nsp13,9606.ENSP00000296137,733.173301
SARS-CoV2 nsp13,9606.ENSP00000361603,932.056845
SARS-CoV2 nsp13,9606.ENSP00000380661,990.717833
SARS-CoV2 nsp13,9606.ENSP00000329967,993.970596
SARS-CoV2 nsp13,9606.ENSP00000360252,994.048081
SARS-CoV2 nsp13,9606.ENSP00000278886,987.790569
SARS-CoV2 nsp14,9606.ENSP00000218516,841.137578
SARS-CoV2 nsp14,9606.ENSP00000321584,989.667608
SARS-CoV2 nsp14,9606.ENSP00000476228,993.6328100000001
SARS-CoV2 nsp15,9606.ENSP00000219169,987.8860000000001
SARS-CoV2 nsp15,9606.ENSP00000298316,988.131492
SARS-CoV2 nsp15,9606.ENSP00000342755,993.5608169999999
SARS-CoV2 nsp15,9606.ENSP00000356652,614.994667
SARS-CoV2 nsp2,9606.ENSP00000267842,915.803486
SARS-CoV2 nsp2,9606.ENSP00000258416,806.833749
SARS-CoV2 nsp2,9606.ENSP00000419970,710.961769
SARS-CoV2 nsp2,9606.ENSP00000340454,991.6357439999999
SARS-CoV2 nsp2,9606.ENSP00000484713,972.115182
SARS-CoV2 nsp2,9606.ENSP00000238256,988.056696
SARS-CoV2 nsp2,9606.ENSP00000387170,767.224555
SARS-CoV2 nsp4,9606.ENSP00000265986,918.031442
SARS-CoV2 nsp4,9606.ENSP00000257245,961.4719819999999
SARS-CoV2 nsp4,9606.ENSP00000430236,727.45605
SARS-CoV2 nsp4,9606.ENSP00000483364,683.2439420000001
SARS-CoV2 nsp4,9606.ENSP00000361990,605.329621
SARS-CoV2 nsp4,9606.ENSP00000254508,710.174697
SARS-CoV2 nsp4,9606.ENSP00000296824,643.5457690000001
SARS-CoV2 nsp4,9606.ENSP00000270502,986.980311
SARS-CoV2 nsp4,9606.ENSP00000366800,726.8668729999999
SARS-CoV2 nsp4,9606.ENSP00000254616,985.104055
SARS-CoV2 nsp4,9606.ENSP00000378588,913.806284
SARS-CoV2 nsp5,9606.ENSP00000430432,993.708403
SARS-CoV2 nsp5_C145A,9606.ENSP00000407375,976.8408400000001
SARS-CoV2 nsp5_C145A,9606.ENSP00000466967,984.315505
SARS-CoV2 nsp6,9606.ENSP00000300688,717.265558
SARS-CoV2 nsp6,9606.ENSP00000306003,687.285485
SARS-CoV2 nsp6,9606.ENSP00000358777,989.106922
SARS-CoV2 nsp6,9606.ENSP00000277010,842.213253
SARS-CoV2 nsp6,9606.ENSP00000266682,684.980461
SARS-CoV2 nsp6,9606.ENSP00000416508,805.525853
SARS-CoV2 nsp7,9606.ENSP00000264167,826.490325
SARS-CoV2 nsp7,9606.ENSP00000264108,633.669948
SARS-CoV2 nsp7,9606.ENSP00000308430,803.51019
SARS-CoV2 nsp7,9606.ENSP00000350012,897.068932
SARS-CoV2 nsp7,9606.ENSP00000354468,956.349351
SARS-CoV2 nsp7,9606.ENSP00000428895,631.7371539999999
SARS-CoV2 nsp7,9606.ENSP00000005257,750.366485
SARS-CoV2 nsp7,9606.ENSP00000354511,745.231765
SARS-CoV2 nsp7,9606.ENSP00000447053,879.08593
