NON-WEIGHTED Betweenness Centrality of Human PPI network (selection of links with score > 400)
node,BC
9606.ENSP00000000233,0.00016942752032760865
9606.ENSP00000272298,0.00017366668338522235
9606.ENSP00000418915,0.0013377970304726359
9606.ENSP00000356737,6.237448958988664e-05
9606.ENSP00000432568,0.00029201370212159186
9606.ENSP00000427900,4.214033048335395e-05
9606.ENSP00000350199,0.00018455735362891498
9606.ENSP00000438085,0.00010327764244078528
9606.ENSP00000482835,0.00034384145023280395
9606.ENSP00000354878,5.2167863344336347e-05
9606.ENSP00000310521,8.142483524710856e-05
9606.ENSP00000405926,0.00012362428309818508
9606.ENSP00000314615,0.00027247077549834504
9606.ENSP00000349588,0.0003256509190465955
9606.ENSP00000326031,0.0013035156675434308
9606.ENSP00000414982,0.00013282072917237254
9606.ENSP00000480707,0.00017748013697951905
9606.ENSP00000324020,0.00010652499587934707
9606.ENSP00000300087,0.00024073497595319786
9606.ENSP00000268919,0.00020017296220271877
9606.ENSP00000384164,9.903537260625747e-05
9606.ENSP00000388878,0.00011442891951408561
9606.ENSP00000258739,0.00014896699473984081
9606.ENSP00000310226,0.00044384633846471065
9606.ENSP00000346762,0.000172847404407646
9606.ENSP00000303145,0.00030836941104391783
9606.ENSP00000364864,0.0001594368998138
9606.ENSP00000404190,0.00026208943016923635
9606.ENSP00000379386,0.0001590234272717926
9606.ENSP00000263373,0.00014555274005644887
9606.ENSP00000359000,0.00021474905844770485
9606.ENSP00000314649,0.0001215720117538319
9606.ENSP00000380308,0.0005928327861773721
9606.ENSP00000380432,0.009281099665121561
9606.ENSP00000297044,5.746875527018912e-05
9606.ENSP00000401010,0.0005727226138818422
9606.ENSP00000365773,0.00017082330178134984
9606.ENSP00000262305,0.0001695919187836585
9606.ENSP00000369755,5.6594029598303714e-05
9606.ENSP00000324287,1.4324955666379435e-05
9606.ENSP00000264712,0.00012993189014228054
9606.ENSP00000379712,3.550126142456096e-05
9606.ENSP00000273130,0.0003040929298250984
9606.ENSP00000354560,0.00035485803585212866
9606.ENSP00000357048,0.0001267155885702767
9606.ENSP00000315299,6.984227596261535e-05
9606.ENSP00000377233,0.00010363934169655281
9606.ENSP00000223369,0.0004563558660322615
9606.ENSP00000249923,0.000602180286812742
9606.ENSP00000480301,3.837399505358266e-05
9606.ENSP00000378356,0.00014812105411891015
9606.ENSP00000379891,0.00010528436203735613
9606.ENSP00000361057,0.00029372649368084855
9606.ENSP00000357869,0.0002543985997506223
9606.ENSP00000341344,0.00017535136224180667
9606.ENSP00000360532,0.0026787944602183764
9606.ENSP00000320130,0.00031414907834999116
9606.ENSP00000402394,7.524787221965678e-05
9606.ENSP00000387286,0.0006306626598296705
9606.ENSP00000398526,1.4722369294686001e-05
9606.ENSP00000020673,2.7447773833357056e-05
9606.ENSP00000377250,0.00028670766709554073
9606.ENSP00000358921,0.00039787348331020303
9606.ENSP00000354947,0.0002576444615435126
9606.ENSP00000302895,5.923993683623595e-05
9606.ENSP00000352438,0.00033656661559758425
9606.ENSP00000221138,0.00039329276076222546
9606.ENSP00000447053,0.0003162278744637284
9606.ENSP00000263168,0.00041937121228168456
9606.ENSP00000379191,0.000529836594315039
9606.ENSP00000354669,9.432453617787986e-05
9606.ENSP00000334100,0.00025975986882322726
9606.ENSP00000317790,0.00015363148669363038
9606.ENSP00000377284,0.00013676141293645828
9606.ENSP00000444850,0.0006256444107872062
9606.ENSP00000265148,0.0003208267047564197
9606.ENSP00000393963,0.00015381323538604154
9606.ENSP00000360214,0.00015462371614350637
9606.ENSP00000333942,0.00010940142408282793
9606.ENSP00000280706,2.6292664080474542e-05
9606.ENSP00000363524,0.00019293826562516962
9606.ENSP00000297814,0.00012871463835408947
9606.ENSP00000440005,0.0006693236645214546
9606.ENSP00000347839,4.114718388500846e-05
9606.ENSP00000265825,3.479055682795119e-05
9606.ENSP00000256682,0.00015579626176578926
9606.ENSP00000399403,0.0001323090730589354
9606.ENSP00000222008,6.912555692102756e-05
9606.ENSP00000411831,9.369901515550409e-05
9606.ENSP00000414906,0.00023562996186942794
9606.ENSP00000408236,5.75121545871571e-05
9606.ENSP00000287152,0.00017272952363791674
9606.ENSP00000465992,9.301819015945666e-05
9606.ENSP00000438388,0.0002485778984448449
9606.ENSP00000388241,8.666589032225982e-05
9606.ENSP00000248901,0.00025923831177445967
9606.ENSP00000408979,0.00048328715645637324
9606.ENSP00000233078,0.00011138323696347127
9606.ENSP00000299705,0.00011057196997709708
9606.ENSP00000254286,0.0004918324273373169
9606.ENSP00000360793,9.679403873166614e-05
9606.ENSP00000258198,0.0002235197624198374
9606.ENSP00000484121,3.3855126709817396e-05
9606.ENSP00000354376,0.00013391752390793182
9606.ENSP00000295688,0.000692238194693631
9606.ENSP00000317971,0.0018836254840783255
9606.ENSP00000330945,0.00013563126277159297
9606.ENSP00000265709,0.00010359858507165702
9606.ENSP00000306010,0.00017160354570512287
9606.ENSP00000281419,6.577339864079733e-05
9606.ENSP00000339906,7.254021057620264e-05
9606.ENSP00000378338,6.664318487293713e-05
9606.ENSP00000356030,0.00021507276888470253
9606.ENSP00000361824,0.0006015260023560083
9606.ENSP00000445175,0.00033235286373500247
9606.ENSP00000222305,4.45080256418866e-05
9606.ENSP00000298316,0.0005595757577559646
9606.ENSP00000261890,0.0013855204542799337
9606.ENSP00000387875,0.00018769084993295053
9606.ENSP00000263181,0.00024535440415240776
9606.ENSP00000375810,0.00014783787140266636
9606.ENSP00000359871,0.0001983333267641395
9606.ENSP00000265070,0.00029386050260637797
9606.ENSP00000311962,8.230285530092537e-05
9606.ENSP00000258098,2.7941174716328613e-05
9606.ENSP00000259632,0.0003158206576426278
9606.ENSP00000355759,0.0006281258516541659
9606.ENSP00000374566,4.965176180620787e-05
9606.ENSP00000260363,0.00040994395206548647
9606.ENSP00000331342,4.234560785434465e-05
9606.ENSP00000222547,7.537624188450475e-05
9606.ENSP00000329471,0.00016718375749988042
9606.ENSP00000358019,6.205550723805499e-05
9606.ENSP00000280772,0.00022804017349438153
9606.ENSP00000348965,0.0009402193612064215
9606.ENSP00000318821,7.519711664913266e-05
9606.ENSP00000349259,0.0003024064409489432
9606.ENSP00000307078,0.0002969693857134332
9606.ENSP00000329419,0.00011664287120770621
9606.ENSP00000302393,2.2448982470513018e-05
9606.ENSP00000374484,2.8028317452291257e-05
9606.ENSP00000221114,0.00015350138787914423
9606.ENSP00000470383,3.937304006696251e-05
9606.ENSP00000429900,4.3243263613159126e-05
9606.ENSP00000408910,0.0006211515345227361
9606.ENSP00000418447,0.0012120385016934601
9606.ENSP00000260731,0.0005724692635920477
9606.ENSP00000353444,0.00019987114078459368
9606.ENSP00000338769,4.33564066671734e-06
9606.ENSP00000262225,0.0003258852513508324
9606.ENSP00000354398,0.00010288310570872656
9606.ENSP00000263088,0.00028816778105409063
9606.ENSP00000361298,0.00035799477920868265
9606.ENSP00000264028,0.00023697064889865725
9606.ENSP00000320821,0.00010781898455140265
9606.ENSP00000440984,0.00013698849153490517
9606.ENSP00000341779,0.0010085255515207747
9606.ENSP00000477310,0.00046209726230808337
9606.ENSP00000263934,0.00016368669892392537
9606.ENSP00000451752,0.00013138361432496516
9606.ENSP00000336666,0.00019690939452205074
9606.ENSP00000402346,0.00038052437609018734
9606.ENSP00000301332,8.151540421103554e-05
9606.ENSP00000325002,0.00016090072989444584
9606.ENSP00000395083,0.00015938440034402444
9606.ENSP00000369436,1.415738946729059e-05
9606.ENSP00000385545,0.0001457009330404237
9606.ENSP00000326238,0.0005456669916986665
9606.ENSP00000158762,4.957415958805943e-05
9606.ENSP00000482620,4.841406027661109e-05
9606.ENSP00000376297,0.001089911109784298
9606.ENSP00000434442,0.0001295989471559423
9606.ENSP00000311449,0.0001815387633709873
9606.ENSP00000385000,0.00016911700823079716
9606.ENSP00000255194,0.0002927108851848298
9606.ENSP00000347464,3.285237625700468e-05
9606.ENSP00000160827,0.0003292585178096846
9606.ENSP00000243440,1.9044293675060825e-05
9606.ENSP00000363232,8.47146950063541e-05
9606.ENSP00000378769,0.0005308009748149672
9606.ENSP00000262215,9.213316296487759e-05
9606.ENSP00000463393,0.00023115884704477492
9606.ENSP00000385205,0.000153308878276501
9606.ENSP00000259708,9.434329994406557e-05
9606.ENSP00000357883,9.723838455350894e-05
9606.ENSP00000437783,0.00013252812359371897
9606.ENSP00000263245,0.00019443261687116718
9606.ENSP00000261942,0.00033975908202922025
9606.ENSP00000349467,0.000809842986057647
9606.ENSP00000452762,0.0002269383723108313
9606.ENSP00000386918,0.0001345915095426005
9606.ENSP00000357129,0.00025868816984787136
9606.ENSP00000317469,0.00011284221508967094
9606.ENSP00000333298,0.0005670949485017135
9606.ENSP00000291295,0.000351989952947456
9606.ENSP00000377148,0.0002218026052340052
9606.ENSP00000385808,0.0003356272440814147
9606.ENSP00000347712,3.604877124209087e-05
9606.ENSP00000307634,3.2356669836571e-05
9606.ENSP00000449270,0.0002091354692368841
9606.ENSP00000262812,0.00015271092748523937
9606.ENSP00000354791,0.0006233967908058877
9606.ENSP00000000412,0.00013341697650899823
9606.ENSP00000416097,0.00013405959494174023
9606.ENSP00000363458,0.00013677041235633924
9606.ENSP00000369981,0.0004915777234560459
9606.ENSP00000466298,5.744440555214035e-05
9606.ENSP00000216124,0.00013094720312007061
9606.ENSP00000307939,9.540200559658757e-05
9606.ENSP00000347792,0.0001672860685362468
9606.ENSP00000233242,0.0011660162692831218
9606.ENSP00000418575,2.5646552445032267e-05
9606.ENSP00000450731,0.00025790320551199677
9606.ENSP00000253083,0.00016783493116493802
9606.ENSP00000271234,0.00010243454509512973
