Nodi,BC
9606.ENSP00000000233,0.00011655374645099888
9606.ENSP00000272298,0.00021371364375197255
9606.ENSP00000418915,0.0020682961548680002
9606.ENSP00000356737,6.875506447409181e-05
9606.ENSP00000432568,0.00017164215234852475
9606.ENSP00000427900,3.128394103461208e-05
9606.ENSP00000350199,0.00014062310006062107
9606.ENSP00000438085,0.00015758407354787187
9606.ENSP00000482835,0.000222806373777754
9606.ENSP00000354878,3.6450418202630205e-05
9606.ENSP00000310521,6.544699027695433e-05
9606.ENSP00000405926,4.4085473234218335e-05
9606.ENSP00000314615,0.00028872558636296365
9606.ENSP00000349588,0.0003686873648278255
9606.ENSP00000326031,0.0009219859237739296
9606.ENSP00000414982,9.117451776407877e-05
9606.ENSP00000480707,9.446064904687338e-05
9606.ENSP00000324020,5.963895265433849e-05
9606.ENSP00000300087,0.00010368208464666588
9606.ENSP00000268919,4.8786113122335084e-05
9606.ENSP00000384164,6.93992328980172e-05
9606.ENSP00000388878,9.48032822585383e-05
9606.ENSP00000258739,5.293818015188072e-05
9606.ENSP00000310226,0.00012868260242402942
9606.ENSP00000346762,0.00015948451878291346
9606.ENSP00000303145,7.483747845597006e-05
9606.ENSP00000364864,7.468352475923267e-05
9606.ENSP00000404190,0.0002113231700732664
9606.ENSP00000379386,0.00025737149994643587
9606.ENSP00000263373,0.00011403031130157176
9606.ENSP00000359000,0.00021089658722824473
9606.ENSP00000314649,0.0002439223220304673
9606.ENSP00000380308,0.00016098819938381738
9606.ENSP00000380432,0.00768913827728769
9606.ENSP00000297044,2.7115686609239757e-05
9606.ENSP00000401010,0.0003942951312801116
9606.ENSP00000365773,0.00038006386661482237
9606.ENSP00000262305,0.0001705526506794118
9606.ENSP00000369755,0.00010676531812457711
9606.ENSP00000324287,5.271065731053892e-05
9606.ENSP00000264712,5.952461311238808e-05
9606.ENSP00000379712,4.5461401879486866e-05
9606.ENSP00000273130,9.211643149409882e-05
9606.ENSP00000354560,0.00023195593954888254
9606.ENSP00000357048,2.4085226250530013e-05
9606.ENSP00000315299,4.642584131681645e-05
9606.ENSP00000377233,9.856954968754784e-05
9606.ENSP00000223369,0.0004774367052537543
9606.ENSP00000249923,0.00036551193734649014
9606.ENSP00000480301,7.100061599516077e-05
9606.ENSP00000378356,7.276734177824839e-05
9606.ENSP00000379891,4.177966862868336e-05
9606.ENSP00000361057,0.00012515464943357944
9606.ENSP00000357869,0.00038050812070028814
9606.ENSP00000341344,0.00020276601802440627
9606.ENSP00000360532,0.000526376746378548
9606.ENSP00000320130,6.958807300218902e-05
9606.ENSP00000402394,9.760100383725094e-05
9606.ENSP00000387286,0.0004095662948087304
9606.ENSP00000398526,5.6111584208737815e-05
9606.ENSP00000020673,7.608255898497285e-05
9606.ENSP00000377250,0.0003744583167115411
9606.ENSP00000358921,0.0002449643634798987
9606.ENSP00000354947,0.00014898339539023327
9606.ENSP00000302895,6.501397743859044e-05
9606.ENSP00000352438,0.00041542856020736576
9606.ENSP00000221138,9.913332071220065e-05
9606.ENSP00000447053,6.99947492044857e-05
9606.ENSP00000263168,0.0002519325349486685
9606.ENSP00000379191,0.00014997577268438615
9606.ENSP00000354669,0.00017033681873505603
9606.ENSP00000334100,0.0005068831199192466
9606.ENSP00000317790,6.149771534512641e-05
9606.ENSP00000377284,7.81707330466157e-05
9606.ENSP00000444850,0.0007308655679571272
9606.ENSP00000265148,0.00020318194416717538
9606.ENSP00000393963,0.00020825399485953773
9606.ENSP00000360214,0.0001984979413247694
9606.ENSP00000333942,0.00010153419415036857
9606.ENSP00000280706,1.3772775949207577e-05
9606.ENSP00000363524,8.07724072758718e-05
9606.ENSP00000297814,9.062108868675962e-05
9606.ENSP00000440005,0.0006438909449819309
9606.ENSP00000347839,4.394518247038704e-05
9606.ENSP00000265825,4.289435069130451e-05
9606.ENSP00000256682,0.00012887186006023646
9606.ENSP00000399403,9.229288695574927e-05
9606.ENSP00000222008,8.852886777616012e-05
9606.ENSP00000411831,8.355574005829411e-05
9606.ENSP00000414906,7.305865066743106e-05
9606.ENSP00000408236,3.34575485742291e-05
9606.ENSP00000287152,0.0001815369292961
9606.ENSP00000465992,0.00010164628544289862
9606.ENSP00000438388,0.0004151297228944099
9606.ENSP00000388241,7.755133390773306e-05
9606.ENSP00000248901,0.00023288275788993715
9606.ENSP00000408979,0.000606551613923473
9606.ENSP00000233078,0.0001715702083670728
9606.ENSP00000299705,3.6876686292733e-05
9606.ENSP00000254286,0.00021607818154389206
9606.ENSP00000360793,8.200984375684532e-05
9606.ENSP00000258198,2.9787493373271983e-05
9606.ENSP00000484121,5.276798767075844e-05
9606.ENSP00000354376,0.0001437944357280115
9606.ENSP00000295688,0.00046403328456646526
9606.ENSP00000317971,0.0027842705133652597
9606.ENSP00000330945,3.70169770565643e-05
9606.ENSP00000265709,3.902421413907369e-05
9606.ENSP00000306010,0.00022799709933770236
9606.ENSP00000281419,6.541236723588062e-05
9606.ENSP00000339906,0.00011533699386469277
9606.ENSP00000378338,7.82417777282995e-05
9606.ENSP00000356030,0.00024575119799229373
9606.ENSP00000361824,0.00036904249830626787
9606.ENSP00000445175,0.0004394028128665063
9606.ENSP00000222305,8.652118104376664e-05
9606.ENSP00000298316,0.0005575655518742253
9606.ENSP00000261890,0.0011436340294269643
9606.ENSP00000387875,9.214090529493207e-05
9606.ENSP00000263181,0.0001263557156625011
9606.ENSP00000375810,8.397975989897654e-05
9606.ENSP00000359871,0.00019577980777553788
9606.ENSP00000265070,0.0007901004952022953
9606.ENSP00000311962,0.00020921417722199085
9606.ENSP00000258098,4.834905343501449e-05
9606.ENSP00000259632,5.2324857710002844e-05
9606.ENSP00000355759,0.0007057530373224018
9606.ENSP00000374566,6.167757529875628e-05
9606.ENSP00000260363,0.0003627853481034878
9606.ENSP00000331342,4.3738343523712684e-05
9606.ENSP00000222547,3.9286809671373306e-05
9606.ENSP00000329471,5.813073701317517e-05
9606.ENSP00000358019,4.611968930977218e-05
9606.ENSP00000280772,0.00017883879874314008
9606.ENSP00000348965,0.0003097462687935709
